name,trueheight,shoeheight,weight,wingspan,reach,standvert,agility,sprint,draft,class
Terrico White,"6' 3.75""","6' 5""",203,"6' 9""","8' 5""",31,11.38,3.15,35,2010
Dominique Jones,"6' 3.25""","6' 5""",216,"6' 9.25""","8' 5""",26,10.88,3.31,34,2010
Jordan Crawford,"6' 3""","6' 4.5""",198,"6' 7""","8' 5""",31.5,11.03,3.37,32,2010
Gani Lawal,"6' 7.5""","6' 9""",233,"7' 0""","8' 11.5""",27,11.61,3.24,31,2010
Devin Ebanks,"6' 7""","6' 8.25""",208,"7' 0.25""","8' 11.5""",23.5,11.69,3.44,30,2010
Lazar Hayward,"6' 4.5""","6' 5.75""",226,"7' 0.75""","8' 6""",31,10.87,3.31,30,2010
Avery Bradley,"6' 2""","6' 3.25""",180,"6' 7.25""","8' 2.5""",31.5,11.47,3.14,28,2010
Willie Warren,"6' 2.5""","6' 3.75""",208,"6' 6""","8' 3.5""",23,11.21,3.5,27,2010
Eric Bledsoe,"6' 0.25""","6' 1.5""",192,"6' 7.5""","8' 2""",,,,25,2010
Paul George,"6' 7.75""","6' 8.75""",214,"6' 11.25""","8' 11""",,,,23,2010
Larry Sanders,"6' 9.25""","6' 10.5""",222,"7' 5.75""","9' 4""",25.5,12.49,3.27,22,2010
Solomon Alabi,"6' 11.5""","7' 0.75""",237,"7' 5""","9' 5""",22.5,13.2,3.68,21,2010
Luke Babbitt,"6' 7.5""","6' 8.75""",218,"6' 11.25""","8' 8.5""",29.5,10.98,3.4,20,2010
Stanley Robinson,"6' 6.5""","6' 7.75""",213,"7' 0""","8' 11.5""",,11.65,3.23,19,2010
Gordon Hayward,"6' 6.75""","6' 8""",211,"6' 7.75""","8' 7""",30.5,11.73,3.22,18,2010
James Anderson,"6' 4.75""","6' 5.75""",208,"6' 8.5""","8' 8""",30,11.86,3.19,17,2010
Damion James,"6' 6.25""","6' 7.75""",227,"7' 0.75""","8' 11""",29,10.89,3.2,16,2010
Xavier Henry,"6' 5.25""","6' 6.5""",210,"6' 11.25""","8' 9""",28.5,11.1,3.18,15,2010
Hassan Whiteside,"6' 10.5""","6' 11.5""",227,"7' 7""","9' 5""",27,11.83,3.54,14,2010
Daniel Orton,"6' 8.75""","6' 9.5""",269,"7' 4.25""","9' 2.5""",24,12.32,3.39,13,2010
Patrick Patterson,"6' 8""","6' 9.25""",240,"7' 1.25""","8' 11""",28.5,11.14,3.25,11,2010
Ed Davis,"6' 9""","6' 9.75""",227,"7' 0""","9' 0""",31,11.7,3.21,10,2010
Greg Monroe,"6' 9.75""","6' 11""",247,"7' 2.25""","9' 0.5""",25,12.1,3.35,9,2010
Ekpe Udoh,"6' 8.75""","6' 9.75""",237,"7' 4.5""","8' 10.5""",31,11.15,3.29,8,2010
Cole Aldrich,"6' 9""","6' 11.25""",236,"7' 4.75""","9' 3.5""",23,11.48,3.35,7,2010
Wesley Johnson,"6' 6.25""","6' 7.25""",206,"7' 1""","8' 10""",32,11.43,3.14,6,2010
Al-Farouq Aminu,"6' 7.25""","6' 8.5""",216,"7' 3.25""","9' 0.5""",27,11.29,3.3,5,2010
DeMarcus Cousins,"6' 9.5""","6' 10.75""",292,"7' 5.75""","9' 5""",23.5,11.4,3.55,4,2010
Derrick Favors,"6' 8.75""","6' 10.25""",245,"7' 4""","9' 2""",31.5,11.74,3.25,3,2010
Evan Turner,"6' 5.75""","6' 7""",214,"6' 8""","8' 7.5""",27.5,11.06,3.27,2,2010
John Wall,"6' 2.75""","6' 4""",196,"6' 9.25""","8' 5.5""",30,10.84,3.14,1,2010
Isaiah Thomas,"5' 8.75""","5' 10.25""",186,"6' 1.75""","7' 7.5""",31.5,10.49,3.14,60,2011
Gregory Smith,"6' 8""","6' 9.25""",253,"7' 2.5""","8' 10.5""",29.5,12.43,3.36,59,2011
Michael Dunigan,"6' 8.5""","6' 10""",238,"7' 3.25""","8' 11.5""",29.5,11.85,3.27,58,2011
Malcolm Thomas,"6' 7.5""","6' 8.75""",223,"7' 0.5""","8' 11.5""",32,11.31,3.29,57,2011
Chandler Parsons,"6' 8.75""","6' 9.75""",221,"6' 9.5""","8' 8.5""",25.5,11.05,3.29,56,2011
