name,trueheight,shoeheight,weight,wingspan,reach,standvert,agility,sprint,draft,class
Erik Murphy,6' 8.75'',6' 9.5'',239.8,6' 10.5'',9' 0'',24.5,12.19,3.57,,2013
Mike Muscala,6' 10.25'',6' 11.5'',230.2,7' 1'',9' 0'',28,11.76,3.44,,2013
Nerlens Noel,6' 10'',6' 11.75'',206.4,7' 3.75'',9' 2'',,,,,2013
Victor Oladipo,6' 3.25'',6' 4.25'',213.2,6' 9.25'',8' 4.5'',33,10.69,3.25,,2013
Kelly Olynyk,6' 10.75'',7' 0'',234,6' 9.75'',9' 0'',24.5,11.42,3.59,,2013
Brandon Paul,6' 2.75'',6' 4'',201,6' 10.25'',8' 2'',33.5,11.16,3.37,,2013
Norvel Pelle,6' 9.5'',6' 10.5'',207.2,7' 2.5'',9' 1'',31,11.49,3.32,,2013
Mason Plumlee,6' 11.25'',7' 0.5'',238.2,6' 11'',9' 0'',30.5,10.89,3.29,,2013
Otto Porter Jr.,6' 7.5'',6' 8.5'',197.6,7' 1.5'',8' 9.5'',27,11.25,3.4,,2013
Phil Pressey,5' 9.5'',5' 11.5'',177,6' 2.25'',7' 8'',33,10.86,3.13,,2013
Glen Rice Jr.,6' 4.5'',6' 5.75'',210.8,6' 9.25'',8' 5.5'',33,10.99,3.25,,2013
Andre Roberson,6' 6.25'',6' 7'',205.8,6' 11'',8' 8.5'',30,11.36,3.34,,2013
Dennis Schroeder,6' 1'',6' 2'',164.8,6' 7.75'',8' 2'',30,11.09,3.21,,2013
Peyton Siva,5' 11.5'',6' 1'',180.6,6' 3'',7' 9'',33.5,10.59,3.16,,2013
Tony Snell,6' 6'',6' 7.25'',198.2,6' 11.5'',8' 9.5'',30,10.36,3.25,,2013
James Southerland,6' 7'',6' 8'',220.6,7' 1'',8' 10'',29,10.9,3.38,,2013
Adonis Thomas,6' 4.75'',6' 5.75'',231.8,7' 1'',8' 3'',34.5,11.66,3.32,,2013
Deshaun Thomas,6' 5'',6' 7'',219.8,6' 10'',8' 8'',28.5,12.94,3.53,,2013
Jeff Withey,6' 10.75'',7' 0.5'',221.8,7' 2'',9' 2.5'',26.5,12.49,3.47,,2013
Nate Wolters,6' 3.5'',6' 4.75'',196.4,6' 3.75'',8' 2'',,,,,2013
B.J. Young,6' 2.25'',6' 3.5'',178.8,6' 8.25'',8' 3'',,,,,2013
Cody Zeller,6' 10.75'',7' 0.25'',230,6' 10.75'',8' 10'',35.5,10.82,3.15,,2013
